campo_partenza,procedura,riga,campo_arrivo,id_ingresso,esito,trigger_origine,mappe_partenza_candidate,mappe_arrivo_candidate
F001_001_00,GOTO_GINZASEN,187,F001_005_00,1,field-and-entrance-resolved,1,RMAP_001_1_0,RMAP_001_5_0
F001_001_00,AC_GOTO_CENTER_HACHI,383,F001_003_00,0,field-and-entrance-resolved,8,RMAP_001_1_0,RMAP_001_3_0
F001_001_00,AC_GOTO_CENTER_YAMA,401,F001_003_00,0,field-and-entrance-resolved,9,RMAP_001_1_0,RMAP_001_3_0
F001_001_00,AC_GOTO_UNDER_TOKYU,419,F001_002_00,4,field-and-entrance-resolved,10,RMAP_001_1_0,RMAP_001_2_0
F001_001_00,AC_GOTO_UNDER_YAMA,439,F001_002_00,10,field-and-entrance-resolved,11,RMAP_001_1_0,RMAP_001_2_0
F001_001_00,AC_UNDER_CENTER,458,F001_002_00,5,field-and-entrance-resolved,12,RMAP_001_1_0,RMAP_001_2_0
F001_001_00,SUB_KFEVT_HIROBA_LMAP,1577,F153_001_00,0,field-and-entrance-resolved,"8,9",RMAP_001_1_0,RMAP_153_1_0
F001_002_00,AC_SIBUYA_HIROBA_BUTTON,46,F001_001_00,0,field-and-entrance-resolved,0,RMAP_001_2_0,RMAP_001_1_0
F001_002_00,AC_YAMANOTE_BUTTON,66,F001_001_00,1,field-and-entrance-resolved,1,RMAP_001_2_0,RMAP_001_1_0
F001_002_00,AC_SIBUTIKA_06_BUTTON,202,F001_004_00,1,field-and-entrance-resolved,5,RMAP_001_2_0,RMAP_001_4_0
F001_002_00,AC_SIBUTIKA_07_BUTTON,221,F001_004_00,2,field-and-entrance-resolved,6,RMAP_001_2_0,RMAP_001_4_0
F001_002_00,AC_SIBUTIKA_08_BUTTON,242,F001_004_00,3,field-and-entrance-resolved,7,RMAP_001_2_0,RMAP_001_4_0
F001_002_00,AC_CENTER_106_BUTTON,274,F001_003_00,3,field-and-entrance-resolved,8,RMAP_001_2_0,RMAP_001_3_0
F001_002_00,AC_GOTO_HIROBA_TOKYU,626,F001_001_00,6,field-and-entrance-resolved,21,RMAP_001_2_0,RMAP_001_1_0
F001_002_00,AC_GOTO_INOKASIRA,727,F005_001_00,0,field-and-entrance-resolved,22,RMAP_001_2_0,RMAP_005_1_0
F001_002_00,MAIN_GOTO_PLATFORM_HIKA,950,F001_002_01,1,field-and-entrance-resolved,27,RMAP_001_2_0,RMAP_001_12_0
F001_002_00,MAIN_GOTO_PLATFORM_INO,969,F001_002_01,2,field-and-entrance-resolved,28,RMAP_001_2_0,RMAP_001_12_0
F001_002_01,ACCESS_DENENTOSI_01,360,F011_006_00,2,field-and-entrance-resolved,0,RMAP_001_12_0,RMAP_011_6_0
F001_002_01,ACCESS_DENENTOSI_02,389,F011_006_00,2,field-and-entrance-resolved,1,RMAP_001_12_0,RMAP_011_6_0
F001_002_01,ACCESS_DENENTOSI_01_CALL,502,F011_006_00,2,field-and-entrance-resolved,2,RMAP_001_12_0,RMAP_011_6_0
F001_002_01,ACCESS_DENENTOSI_02_CALL,579,F011_006_00,2,field-and-entrance-resolved,3,RMAP_001_12_0,RMAP_011_6_0
F001_002_01,MAIN_GOTO_STATION_HIKA,602,F001_002_00,24,field-and-entrance-resolved,4,RMAP_001_12_0,RMAP_001_2_0
F001_002_01,MAIN_GOTO_STATION_INO,625,F001_002_00,25,field-and-entrance-resolved,5,RMAP_001_12_0,RMAP_001_2_0
F001_002_01,MAIN_TrainDoor_East02,653,F011_006_00,2,field-and-entrance-resolved,6,RMAP_001_12_0,RMAP_011_6_0
F001_003_00,AC_GOTO_STATION,52,F001_001_00,5,field-and-entrance-resolved,0,RMAP_001_3_0,RMAP_001_1_0
F001_003_00,CHK_MILITARY,231,F010_002_00,0,field-and-entrance-resolved,2,RMAP_001_3_0,RMAP_001_3_0
F001_003_00,CHK_CONVENIENCE,850,F003_010_00,1,field-and-entrance-resolved,8,RMAP_001_3_0,
F001_003_00,CHK_GALAXY,1135,F010_019_00,0,field-and-entrance-resolved,11,RMAP_001_3_0,
F001_003_00,AC_GOTO_UNDER_CROSS,1154,F001_002_00,14,field-and-entrance-resolved,12,RMAP_001_3_0,RMAP_001_2_0
F001_003_00,CHK_GAME_CENTER,1245,F010_018_00,1,field-and-entrance-resolved,14,RMAP_001_3_0,RMAP_001_3_0
F001_003_00,CHK_VELVET_DOOR,1451,F010_003_00,0,field-and-entrance-resolved,18,RMAP_001_3_0,RMAP_001_1_0
F001_003_00,MAIN_TRAINING_GIM,1583,F010_005_00,0,field-and-entrance-resolved,21,RMAP_001_3_0,
F001_003_00,MAIN_TRAINING_GIM,1675,F001_003_00,0,field-and-entrance-resolved,21,RMAP_001_3_0,RMAP_001_3_0
F001_003_00,CHK_CallOfVelvetRoom,1912,F010_003_00,0,field-and-entrance-resolved,25,RMAP_001_3_0,RMAP_001_1_0
F001_003_00,SUB_MGK_CALL_CALENDAR,2144,F001_003_00,0,field-and-entrance-resolved,"4,5,10,29",RMAP_001_3_0,RMAP_001_3_0
F001_003_00,D_VELVET_ROOM,3723,F010_003_00,0,field-and-entrance-resolved,,RMAP_001_3_0,RMAP_001_1_0
F001_004_00,AC_SIBUTIKA_06_BUTTON,46,F001_002_00,11,field-and-entrance-resolved,0,RMAP_001_4_0,RMAP_001_2_0
F001_004_00,AC_SIBUTIKA_07_BUTTON,65,F001_002_00,12,field-and-entrance-resolved,1,RMAP_001_4_0,RMAP_001_2_0
F001_004_00,AC_SIBUTIKA_08_BUTTON,84,F001_002_00,13,field-and-entrance-resolved,2,RMAP_001_4_0,RMAP_001_2_0
F001_004_00,CHK_FLOWERSHOP,1013,F001_004_00,0,field-and-entrance-resolved,15,RMAP_001_4_0,RMAP_001_4_0
F001_004_00,SUB_MGK_CALL_CALENDAR,1423,F001_004_00,0,field-and-entrance-resolved,,RMAP_001_4_0,RMAP_001_4_0
F001_005_00,AC_GOTO_AOYAMA,353,F011_004_00,0,field-and-entrance-resolved,0,RMAP_001_5_0,RMAP_011_4_0
F001_005_00,GOTO_SIBUYA_EKIMAE,372,F001_001_00,2,field-and-entrance-resolved,1,RMAP_001_5_0,RMAP_001_1_0
F001_005_00,AC_GOTO_BASE_PASS,450,F001_006_00,10,field-and-entrance-resolved,2,RMAP_001_5_0,RMAP_001_5_0
F001_005_00,ACCESS_GINZA_AUTO,893,F011_004_00,0,field-and-entrance-resolved,8,RMAP_001_5_0,RMAP_011_4_0
F001_005_00,CHK_TRAIN_DOOR02,1243,F011_004_00,0,field-and-entrance-resolved,16,RMAP_001_5_0,RMAP_011_4_0
F001_006_00,AC_GOTO_GINZALINE_PASS,21,F001_005_00,2,field-and-entrance-resolved,0,RMAP_001_5_0,RMAP_001_5_0
F002_001_00,AC_GOTO_SCHOOL,138,F002_005_00,10,field-and-entrance-resolved,"0,4,6",RMAP_002_1_0,RMAP_002_5_0
F002_001_00,AC_GOTO_SCHOOL,184,F002_005_00,0,field-and-entrance-resolved,"0,4,6",RMAP_002_1_0,RMAP_002_5_0
F002_001_00,AC_GOTO_SCHOOL,220,F002_005_00,0,field-and-entrance-resolved,"0,4,6",RMAP_002_1_0,RMAP_002_5_0
F002_001_00,AC_GOTO_SCHOOL,256,F002_002_00,0,field-and-entrance-resolved,"0,4,6",RMAP_002_1_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_001_00,AC_GOTO_AOYAMA,282,F011_004_00,1,field-and-entrance-resolved,1,RMAP_002_1_0,RMAP_011_4_0
F002_001_00,AC_GOTO_AOYAMA02,450,F011_004_00,1,field-and-entrance-resolved,5,RMAP_002_1_0,RMAP_011_4_0
F002_002_00,AC_GOTO_SCHOOL_GATE,38,F002_001_00,1,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_1_0
F002_002_00,AC_GOTO_EAST_1F,68,F002_003_00,0,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_00,AC_GOTO_COURT,90,F002_004_00,0,field-and-entrance-resolved,2,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_00,AC_GOTO_2F_S_AUTO,678,F002_002_01,1,field-and-entrance-resolved,15,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_00,AC_GOTO_2F_N_AUTO,699,F002_002_01,2,field-and-entrance-resolved,16,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_00,SUB_KFEVT_SchoolEnt,983,F151_001_00,1,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_151_1_0;RMAP_151_1_1
F002_002_01,AC_GOTO_EAST_2F,47,F002_003_01,0,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_01,AC_GOTO_CLASS_SOUTH,176,F002_006_00,0,field-and-entrance-resolved,4,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_01,AC_GOTO_CLASS_NORTH,199,F002_006_00,1,field-and-entrance-resolved,5,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_01,AC_GOTO_1F_S_AUTO,379,F002_002_00,3,field-and-entrance-resolved,10,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_01,AC_GOTO_1F_N_AUTO,399,F002_002_00,4,field-and-entrance-resolved,11,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_01,AC_GOTO_3F_S_AUTO,425,F002_002_02,3,field-and-entrance-resolved,12,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_01,AC_GOTO_3F_N_AUTO,445,F002_002_02,1,field-and-entrance-resolved,13,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,AC_GOTO_EAST_3F,49,F002_003_02,0,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,AC_GOTO_ROOF,84,F002_005_00,0,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_5_0
F002_002_02,AC_GOTO_ROOF,96,F002_005_00,0,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_5_0
F002_002_02,MAIN_CHK_LIBRARY_WEST,129,F002_008_00,1,field-and-entrance-resolved,2,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,MAIN_CHK_IBRARY_EAST,160,F002_008_00,2,field-and-entrance-resolved,3,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,AC_GOTO_2F_S_AUTO,361,F002_002_01,4,field-and-entrance-resolved,9,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,AC_GOTO_2F_N_AUTO,380,F002_002_01,3,field-and-entrance-resolved,10,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,AC_GOTO_3F_AUTO,402,F002_002_02,4,field-and-entrance-resolved,11,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,AC_GOTO_4F_AUTO,424,F002_002_02,5,field-and-entrance-resolved,12,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_002_02,SUB_MGK_CALL_CALENDAR,576,F002_002_02,3,field-and-entrance-resolved,,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_00,AC_GOTO_WEST_1F,43,F002_001_00,1,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_1_0
F002_003_00,AC_GOTO_WEST_1F,51,F002_002_00,1,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_00,AC_GOTO_COURT,80,F002_004_00,1,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_00,AC_GOTO_2F_S_AUTO,351,F002_003_01,1,field-and-entrance-resolved,12,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_00,AC_GOTO_2F_N_AUTO,381,F002_003_01,3,field-and-entrance-resolved,13,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_01,AC_GOTO_WEST_2F,40,F002_002_01,0,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_01,AC_GOTO_1F_S_AUTO,449,F002_003_00,2,field-and-entrance-resolved,15,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_01,AC_GOTO_1F_N_AUTO,469,F002_003_00,3,field-and-entrance-resolved,16,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_01,AC_GOTO_3F_S_AUTO,489,F002_003_02,1,field-and-entrance-resolved,17,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_01,AC_GOTO_3F_N_AUTO,509,F002_003_02,2,field-and-entrance-resolved,18,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_02,AC_GOTO_WEST_3F,34,F002_002_02,0,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_02,AC_GOTO_2F_S_AUTO,401,F002_003_01,2,field-and-entrance-resolved,14,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_02,AC_GOTO_2F_N_AUTO,420,F002_003_01,4,field-and-entrance-resolved,15,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_02,AC_GOTO_3F_AUTO,431,F002_003_02,3,field-and-entrance-resolved,,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_003_02,AC_GOTO_4F_AUTO,440,F002_003_02,4,field-and-entrance-resolved,,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_004_00,AC_GOTO_WEST_1F,31,F002_002_00,2,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_004_00,AC_GOTO_EAST_1F,58,F002_003_00,1,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_004_00,SUB_KFEVT_Yard_BldgA1F,309,F002_002_00,2,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_004_00,SUB_KFEVT_Yard_BldgB1F,515,F002_003_00,1,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_005_00,AC_GOTO_SCHOOL,38,F002_001_02,1,target-field-absent,0,RMAP_002_5_0,
F002_005_00,AC_GOTO_SCHOOL,42,F002_001_00,1,field-and-entrance-resolved,0,RMAP_002_5_0,RMAP_002_1_0
F002_005_00,AC_GOTO_SCHOOL,49,F002_002_02,2,field-and-entrance-resolved,0,RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_005_00,AZITO_HIT,212,F002_005_00,10,field-and-entrance-resolved,2,RMAP_002_5_0,RMAP_002_5_0
F002_006_00,CHK_DOOR_BACK,33,F002_002_01,5,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_006_00,CHK_DOOR_FRONT,56,F002_002_01,6,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_008_00,MAIN_GOTO_PASSAGE_LEFT,31,F002_002_02,8,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_008_00,MAIN_GOTO_PASSAGE_RIGHT,52,F002_002_02,7,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_008_00,SUB_MGK_CALL_CALENDAR,623,F002_008_00,0,field-and-entrance-resolved,"3,5,6,18",RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
