group,title,code,file,naming
Akihabara,Mappa generale illustrata del quartiere,MAP_L_AKIBA,mappe_luoghi/Akihabara/Akihabara - Mappa generale illustrata - MAP_L_AKIBA.png,Codice quartiere nel nome archivio; nome italiano della stazione
Akihabara,Electric Town,RMAP_007_1_0,mappe_luoghi/Akihabara/Akihabara - Electric Town - RMAP_007_1_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Aoyama-Itchome,Mappa generale illustrata del quartiere,MAP_L_AOYAMA,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Mappa generale illustrata - MAP_L_AOYAMA.png,Codice quartiere nel nome archivio; nome italiano della stazione
Aoyama-Itchome,Area 000,RMAP_002_0_0,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Area 000 - RMAP_002_0_0.png,codice conservato; nome area assente o ambiguo
Aoyama-Itchome,Area 000,RMAP_002_0_1,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Area 000 - RMAP_002_0_1.png,codice conservato; nome area assente o ambiguo
Aoyama-Itchome,Area 000,RMAP_002_0_2,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Area 000 - RMAP_002_0_2.png,codice conservato; nome area assente o ambiguo
Aoyama-Itchome,Cancello della scuola,RMAP_002_1_0,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Cancello della scuola - RMAP_002_1_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Aoyama-Itchome,Area 005,RMAP_002_5_0,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Area 005 - RMAP_002_5_0.png,codice conservato; nome area assente o ambiguo
Aoyama-Itchome,Aula,RMAP_002_6_0,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Aula - RMAP_002_6_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Aoyama-Itchome,Area 008,RMAP_002_8_0,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Area 008 - RMAP_002_8_0.png,codice conservato; nome area assente o ambiguo
Aoyama-Itchome,Binario stazione Aoyama-Itchome,RMAP_011_4_0,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Binario stazione Aoyama-Itchome - RMAP_011_4_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Aoyama-Itchome,Area 006,RMAP_011_6_0,mappe_luoghi/Aoyama-Itchome/Aoyama-Itchome - Area 006 - RMAP_011_6_0.png,codice conservato; nome area assente o ambiguo
Kanda,Mappa generale illustrata del quartiere,MAP_L_KANDA,mappe_luoghi/Kanda/Kanda - Mappa generale illustrata - MAP_L_KANDA.png,Codice quartiere nel nome archivio; nome italiano della stazione
Kanda,Chiesa,RMAP_010_4_0,mappe_luoghi/Kanda/Kanda - Chiesa - RMAP_010_4_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Kichijoji,Mappa generale illustrata del quartiere,MAP_L_KICHIJOJI,mappe_luoghi/Kichijoji/Kichijoji - Mappa generale illustrata - MAP_L_KICHIJOJI.png,Codice quartiere nel nome archivio; nome italiano della stazione
Kichijoji,Galleria,RMAP_005_1_0,mappe_luoghi/Kichijoji/Kichijoji - Galleria - RMAP_005_1_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Luogo 012,Area 029,RMAP_012_29_0,mappe_luoghi/Luogo 012/Luogo 012 - Area 029 - RMAP_012_29_0.png,codice conservato; nome area assente o ambiguo
Luogo 022,Area 001,RMAP_022_1_0,mappe_luoghi/Luogo 022/Luogo 022 - Area 001 - RMAP_022_1_0.png,codice conservato; nome area assente o ambiguo
Luogo 022,Area 001,RMAP_022_1_1,mappe_luoghi/Luogo 022/Luogo 022 - Area 001 - RMAP_022_1_1.png,codice conservato; nome area assente o ambiguo
Luogo 022,Area 001,RMAP_022_1_2,mappe_luoghi/Luogo 022/Luogo 022 - Area 001 - RMAP_022_1_2.png,codice conservato; nome area assente o ambiguo
